micro_agg,neg_corr,precision,accuracy,recall,tau,u,auc,eor,dpr,epsilon,eOdds,f,f1,k
0.0,0.0,0.7914526157462941,0.742,0.8566680457563571,0.0,,0.6647701013456256,0.07253830384036589,0.12368187926575,,0.26940480767281394,,0.8225687733095481,20.0
1.0,0.0,0.7223662649848552,0.6910000000000001,0.907037641793405,0.0,,0.5462627668065982,0.06666357946432715,0.10945986312716133,,0.2596628835007829,,0.8038483531576862,20.0
0.0,1.0,0.7914526157462941,0.742,0.8566680457563571,0.0,,0.6647701013456256,0.07253830384036589,0.12368187926575,,0.26940480767281394,,0.8225687733095481,20.0
1.0,1.0,0.7223662649848552,0.6910000000000001,0.907037641793405,0.0,,0.5462627668065982,0.06666357946432715,0.10945986312716133,,0.2596628835007829,,0.8038483531576862,20.0
0.0,0.0,0.7916062660869309,0.748,0.8683568422155903,0.0,,0.6672755318560568,0.06220301885936561,0.11087546363331433,,0.2382070724485585,,0.8280048661677789,30.0
1.0,0.0,0.7120991854721775,0.6970000000000001,0.9511117853327375,0.0,,0.5258915794098471,0.047458966720138517,0.05574033200948445,,0.1345294383416938,,0.8140948301835895,30.0
0.0,1.0,0.7916062660869309,0.748,0.8683568422155903,0.0,,0.6672755318560568,0.06220301885936561,0.11087546363331433,,0.2382070724485585,,0.8280048661677789,30.0
1.0,1.0,0.7120991854721775,0.6970000000000001,0.9511117853327375,0.0,,0.5258915794098471,0.047458966720138517,0.05574033200948445,,0.1345294383416938,,0.8140948301835895,30.0
0.0,0.0,0.7962669286976384,0.752,0.8664538087699072,0.0,,0.6748483809773383,0.05489270088907918,0.10396461040464547,,0.2232585612208838,,0.8296755920948459,40.0
1.0,0.0,0.7174210348566452,0.6859999999999999,0.9117787866585024,0.0,,0.5366863331294797,0.13350313859151994,0.13021551869324308,,0.2573975394054254,,0.8012158670423779,40.0
0.0,1.0,0.7962669286976384,0.752,0.8664538087699072,0.0,,0.6748483809773383,0.05489270088907918,0.10396461040464547,,0.2232585612208838,,0.8296755920948459,40.0
1.0,1.0,0.7174210348566452,0.6859999999999999,0.9117787866585024,0.0,,0.5366863331294797,0.13350313859151994,0.13021551869324308,,0.2573975394054254,,0.8012158670423779,40.0
0.0,0.0,0.7906527057507617,0.743,0.8593835469083567,0.0,,0.6644894338425293,0.06515705553476453,0.12041713382978556,,0.2628636099441053,,0.8233806007535028,50.0
1.0,0.0,0.7164900760798163,0.6859999999999999,0.9143905434900532,0.0,,0.5342382157307988,0.1533140840376076,0.15711137146028342,,0.3066416398109838,,0.8026874961419661,50.0
0.0,1.0,0.7906527057507617,0.743,0.8593835469083567,0.0,,0.6644894338425293,0.06515705553476453,0.12041713382978556,,0.2628636099441053,,0.8233806007535028,50.0
1.0,1.0,0.7164900760798163,0.6859999999999999,0.9143905434900532,0.0,,0.5342382157307988,0.1533140840376076,0.15711137146028342,,0.3066416398109838,,0.8026874961419661,50.0
0.0,0.0,0.7979604299524321,0.75,0.8592951564531284,0.0,,0.6763640727953228,0.0660644964527201,0.13736714854284915,,0.2950138637767005,,0.8273002472643775,60.0
1.0,0.0,0.7185124480039734,0.701,0.9412170926215024,0.0,,0.5405246437894593,0.08734831985909737,0.0835459942353862,,0.1945136231544316,,0.8147280522454243,60.0
0.0,1.0,0.7979604299524321,0.75,0.8592951564531284,0.0,,0.6763640727953228,0.0660644964527201,0.13736714854284915,,0.2950138637767005,,0.8273002472643775,60.0
