,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,e,fold
3063,0.595,0.7032967032967034,0.7272727272727273,0.6808510638297872,0.5353407861521817,0.050595238095238027,0.015837104072398134,0.15029088558500325,0.316,0
3064,0.635,0.7345454545454545,0.753731343283582,0.7163120567375887,0.5784950114196419,0.08730158730158732,0.033182503770739065,0.2404654169360052,0.316,0
3065,0.565,0.6903914590747331,0.6928571428571428,0.6879432624113475,0.4795648515446568,0.019841269841269882,0.006033182503770718,0.05645335057099754,0.316,0
3066,0.495,0.6379928315412186,0.644927536231884,0.6312056737588653,0.4003485995912969,0.1329365079365079,0.1907993966817496,0.20060331825037714,0.316,0
3067,0.565,0.6506024096385542,0.75,0.5744680851063829,0.5584204832311577,0.018849206349206397,0.014328808446455562,0.11516914458090938,0.316,0
3068,0.635,0.7574750830564784,0.7125,0.8085106382978723,0.5144248106743599,0.004960317460317443,0.018853695324283604,0.08047834518422757,0.316,0
3069,0.615,0.7279151943462898,0.7253521126760564,0.7304964539007093,0.5347397523740834,0.018849206349206397,0.017345399698340924,0.03695324283559576,0.316,0
3070,0.615,0.7279151943462898,0.7253521126760564,0.7304964539007093,0.5347397523740834,0.06845238095238093,0.017345399698340924,0.20221934927817287,0.316,0
3071,0.645,0.7731629392971245,0.7034883720930233,0.8581560283687943,0.4968746243538887,0.02083333333333337,0.018853695324283604,0.04406377935789707,0.316,0
3072,0.555,0.6482213438735178,0.7321428571428571,0.5815602836879432,0.5365428537083784,0.1329365079365079,0.1659125188536953,0.21913380736910149,0.316,0
3073,0.695,0.8145896656534954,0.7127659574468085,0.950354609929078,0.5175501863204712,0.015873015873015817,0.002262443438914019,0.04848093083387206,0.316,0
3074,0.63,0.7153846153846154,0.7815126050420168,0.6595744680851063,0.6094482509917057,0.06646825396825408,0.08069381598793368,0.12271062271062275,0.316,0
3075,0.685,0.770909090909091,0.7910447761194029,0.75177304964539,0.6385983892294747,0.1607142857142857,0.09502262443438914,0.4199525964231847,0.316,0
3076,0.455,0.5477178423236514,0.66,0.4680851063829787,0.4459069599711504,0.024801587301587324,0.06184012066365002,0.1276664511958629,0.316,0
3077,0.645,0.7473309608540925,0.75,0.7446808510638298,0.5757302560403895,0.004960317460317443,0.0015082956259426794,0.008511096746390834,0.316,0
3078,0.635,0.7420494699646644,0.7394366197183099,0.7446808510638298,0.5587811034980166,0.005952380952380931,0.0015082956259426794,0.029519500107735405,0.316,0
