k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
10.0,,,0.0,1.0,1.0,,accuracy,0.6738094314927311,dpr,0.20518567210771368
20.0,,,0.0,0.0,0.0,,accuracy,0.6781533757182184,dpr,0.18095477149998912
20.0,,,0.0,0.0,1.0,,accuracy,0.6701898098129357,dpr,0.20803872678978624
20.0,,,0.0,1.0,0.0,,accuracy,0.6781533757182184,dpr,0.18095477149998912
20.0,,,0.0,1.0,1.0,,accuracy,0.6701898098129357,dpr,0.20803872678978624
30.0,,,0.0,0.0,0.0,,accuracy,0.6781534805102534,dpr,0.18243331671111146
30.0,,,0.0,0.0,1.0,,accuracy,0.6659935175647169,dpr,0.2136094165856366
30.0,,,0.0,1.0,0.0,,accuracy,0.6781534805102534,dpr,0.18243331671111146
30.0,,,0.0,1.0,1.0,,accuracy,0.6659935175647169,dpr,0.2136094165856366
40.0,,,0.0,0.0,0.0,,accuracy,0.6788772790957704,dpr,0.17988484413209013
40.0,,,0.0,0.0,1.0,,accuracy,0.6664260990850607,dpr,0.2138122907135127
40.0,,,0.0,1.0,0.0,,accuracy,0.6788772790957704,dpr,0.17988484413209013
40.0,,,0.0,1.0,1.0,,accuracy,0.6664260990850607,dpr,0.2138122907135127
50.0,,,0.0,0.0,0.0,,accuracy,0.6787322469193762,dpr,0.18145109270587492
50.0,,,0.0,0.0,1.0,,accuracy,0.6675841558634812,dpr,0.2137234955888573
50.0,,,0.0,1.0,0.0,,accuracy,0.6787322469193762,dpr,0.18145109270587492
50.0,,,0.0,1.0,1.0,,accuracy,0.6675841558634812,dpr,0.2137234955888573
60.0,,,0.0,0.0,0.0,,accuracy,0.6785877387031566,dpr,0.18054929544564752
60.0,,,0.0,0.0,1.0,,accuracy,0.6697570187085221,dpr,0.2232515536563092
60.0,,,0.0,1.0,0.0,,accuracy,0.6785877387031566,dpr,0.18054929544564752
60.0,,,0.0,1.0,1.0,,accuracy,0.6697570187085221,dpr,0.2232515536563092
70.0,,,0.0,0.0,0.0,,accuracy,0.6790221016880948,dpr,0.17775752514614385
70.0,,,0.0,0.0,1.0,,accuracy,0.6729417534432043,dpr,0.21972422285767448
70.0,,,0.0,1.0,0.0,,accuracy,0.6790221016880948,dpr,0.17775752514614385
70.0,,,0.0,1.0,1.0,,accuracy,0.6729417534432043,dpr,0.21972422285767448
80.0,,,0.0,0.0,0.0,,accuracy,0.6781533757182184,dpr,0.18273773653736847
80.0,,,0.0,0.0,1.0,,accuracy,0.6716392932405993,dpr,0.21529321263960272
80.0,,,0.0,1.0,0.0,,accuracy,0.6781533757182184,dpr,0.18273773653736847
80.0,,,0.0,1.0,1.0,,accuracy,0.6716392932405993,dpr,0.21529321263960272
90.0,,,0.0,0.0,0.0,,accuracy,0.6774296819247362,dpr,0.17936046313955445
90.0,,,0.0,0.0,1.0,,accuracy,0.6701909625253204,dpr,0.21857907437609567
90.0,,,0.0,1.0,0.0,,accuracy,0.6774296819247362,dpr,0.17936046313955445
90.0,,,0.0,1.0,1.0,,accuracy,0.6701909625253204,dpr,0.21857907437609567
100.0,,,0.0,0.0,0.0,,accuracy,0.6785879482872266,dpr,0.17679477994099188
100.0,,,0.0,0.0,1.0,,accuracy,0.6685978092177169,dpr,0.22347674060229727
100.0,,,0.0,1.0,0.0,,accuracy,0.6785879482872266,dpr,0.17679477994099188
100.0,,,0.0,1.0,1.0,,accuracy,0.6685978092177169,dpr,0.22347674060229727
,7.0,3.0,0.1,0.0,0.0,,accuracy,0.6751130444077207,dpr,0.1277173299007645
,7.0,3.0,0.1,0.0,1.0,,accuracy,0.6745343827906327,dpr,0.3832338469682767
,7.0,3.0,0.1,1.0,0.0,,accuracy,0.6733761164281424,dpr,0.09017447311388346
,7.0,3.0,0.1,1.0,1.0,,accuracy,0.6741005437658695,dpr,0.36114842771279776
,13.0,7.0,0.1,0.0,0.0,,accuracy,0.6761265929699215,dpr,0.16931648482966224
,13.0,7.0,0.1,0.0,1.0,,accuracy,0.6685985427619616,dpr,0.3701502403764309
,13.0,7.0,0.1,1.0,0.0,,accuracy,0.6764158189864304,dpr,0.16038593985957955
,13.0,7.0,0.1,1.0,1.0,,accuracy,0.6700462447250309,dpr,0.3672129987929514
,20.0,10.0,0.1,0.0,0.0,,accuracy,0.6784426017347274,dpr,0.17008437054232212
,20.0,10.0,0.1,0.0,1.0,,accuracy,0.666136453900412,dpr,0.3581521129148498
,20.0,10.0,0.1,1.0,0.0,,accuracy,0.6787322469193763,dpr,0.16997363665351795
,20.0,10.0,0.1,1.0,1.0,,accuracy,0.6665707120933153,dpr,0.35602934251479884
,26.0,14.0,0.1,0.0,0.0,,accuracy,0.6774291579645614,dpr,0.17103043361333015
,26.0,14.0,0.1,0.0,1.0,,accuracy,0.6683091071613829,dpr,0.35725345831603217
,26.0,14.0,0.1,1.0,0.0,,accuracy,0.6774291579645614,dpr,0.17103043361333015
,26.0,14.0,0.1,1.0,1.0,,accuracy,0.6683091071613829,dpr,0.35725345831603217
,33.0,17.0,0.1,0.0,0.0,,accuracy,0.6777184887731054,dpr,0.1758593525450445
,33.0,17.0,0.1,0.0,1.0,,accuracy,0.6675839462794112,dpr,0.35609381235337423
,33.0,17.0,0.1,1.0,0.0,,accuracy,0.6777184887731054,dpr,0.1758593525450445
,33.0,17.0,0.1,1.0,1.0,,accuracy,0.6675839462794112,dpr,0.35609381235337423
,39.2,20.8,0.1,0.0,0.0,,accuracy,0.6774294723406663,dpr,0.17329351573037716
,39.2,20.8,0.1,0.0,1.0,,accuracy,0.6738105842051156,dpr,0.34282886447264466
,39.2,20.8,0.1,1.0,0.0,,accuracy,0.6774294723406663,dpr,0.17329351573037716
