k,u,f,tau,neg_corr,micro_agg,epsilon,accuracy,auc,f1,precision,recall,dpr,eor,eOdds
50.0,,,0.0,1.0,0.0,,0.8511714380726356,0.7642651759680549,0.6587753570273149,0.7355008410810303,0.596609582321928,0.18003507062328922,0.11102465686621124,0.18588635442379484
50.0,,,0.0,1.0,1.0,,0.7956756822774788,0.7238270923924974,0.5797056534431857,0.5744233796422152,0.5852371472670713,0.24625189606786055,0.3342322323796955,0.471719244133689
60.0,,,0.0,0.0,0.0,,0.8505264985055405,0.7643142823880383,0.6583276545521206,0.7322663918919035,0.5980038753683923,0.1786693667596157,0.10588726620045301,0.17994712734510307
60.0,,,0.0,0.0,1.0,,0.7927885865011615,0.7186112884312428,0.5724039890800208,0.5699857177468532,0.5755410642791712,0.2343234353970181,0.3269933144376073,0.4536230509948134
60.0,,,0.0,1.0,0.0,,0.8505264985055405,0.7643142823880383,0.6583276545521206,0.7322663918919035,0.5980038753683923,0.1786693667596157,0.10588726620045301,0.17994712734510307
60.0,,,0.0,1.0,1.0,,0.7927885865011615,0.7186112884312428,0.5724039890800208,0.5699857177468532,0.5755410642791712,0.2343234353970181,0.3269933144376073,0.4536230509948134
70.0,,,0.0,0.0,0.0,,0.8502193920607095,0.7638941625757029,0.6576128422521655,0.7314364388359665,0.5973651148162147,0.1815843603328252,0.1149715812707786,0.19124651669460874
70.0,,,0.0,0.0,1.0,,0.7760504175923337,0.7067483563143454,0.5522860763197112,0.533681083842584,0.5730914223969752,0.20706472677840665,0.30266018596627264,0.4057181028520919
70.0,,,0.0,1.0,0.0,,0.8502193920607095,0.7638941625757029,0.6576128422521655,0.7314364388359665,0.5973651148162147,0.1815843603328252,0.1149715812707786,0.19124651669460874
70.0,,,0.0,1.0,1.0,,0.7760504175923337,0.7067483563143454,0.5522860763197112,0.533681083842584,0.5730914223969752,0.20706472677840665,0.30266018596627264,0.4057181028520919
80.0,,,0.0,0.0,0.0,,0.8497894213463077,0.7626080511974191,0.6558569738910757,0.7314947467801374,0.5944290516180668,0.17761941512830864,0.1055715924911674,0.17920250266417534
80.0,,,0.0,0.0,1.0,,0.7776476389500341,0.7111961734559359,0.5582993111817125,0.5366693004941603,0.5829777486545273,0.21858107164543425,0.3166865403512694,0.4291969422238336
80.0,,,0.0,1.0,0.0,,0.8497894213463077,0.7626080511974191,0.6558569738910757,0.7314947467801374,0.5944290516180668,0.17761941512830864,0.1055715924911674,0.17920250266417534
80.0,,,0.0,1.0,1.0,,0.7776476389500341,0.7111961734559359,0.5582993111817125,0.5366693004941603,0.5829777486545273,0.21858107164543425,0.3166865403512694,0.4291969422238336
90.0,,,0.0,0.0,0.0,,0.8507414815049547,0.7643692790203699,0.6585511076597539,0.7331590344081287,0.5977494043893556,0.18066711459684628,0.1104807720971693,0.18617182918528566
