tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.0,0.686,0.8026874961419661,0.7164900760798163,0.9143905434900532,0.5342382157307988,0.15711137146028342,0.1533140840376076,0.3066416398109838,2,50.0,0.0,0.0,0.0,1.0,1.0
0.0,0.75,0.8273002472643775,0.797960429952432,0.8592951564531284,0.6763640727953228,0.13736714854284915,0.0660644964527201,0.29501386377670047,2,60.0,0.0,0.0,0.0,0.0,0.0
0.0,0.701,0.8147280522454243,0.7185124480039734,0.9412170926215024,0.5405246437894593,0.0835459942353862,0.08734831985909737,0.1945136231544316,2,60.0,0.0,0.0,0.0,0.0,1.0
0.0,0.75,0.8273002472643775,0.797960429952432,0.8592951564531284,0.6763640727953228,0.13736714854284915,0.0660644964527201,0.29501386377670047,2,60.0,0.0,0.0,0.0,1.0,0.0
0.0,0.701,0.8147280522454243,0.7185124480039734,0.9412170926215024,0.5405246437894593,0.0835459942353862,0.08734831985909737,0.1945136231544316,2,60.0,0.0,0.0,0.0,1.0,1.0
0.0,0.74,0.8225942827475347,0.7863225240196813,0.8627542811540959,0.6580382111870182,0.11382890361322347,0.05716472632390619,0.23374300960497588,2,70.0,0.0,0.0,0.0,0.0,0.0
0.0,0.698,0.8137759521365068,0.7157767600256397,0.9443146751692144,0.5339018890951591,0.10456540771063713,0.08306361053320573,0.22069056079173494,2,70.0,0.0,0.0,0.0,0.0,1.0
0.0,0.74,0.8225942827475347,0.7863225240196813,0.8627542811540959,0.6580382111870182,0.11382890361322347,0.05716472632390619,0.23374300960497588,2,70.0,0.0,0.0,0.0,1.0,0.0
0.0,0.698,0.8137759521365068,0.7157767600256397,0.9443146751692144,0.5339018890951591,0.10456540771063713,0.08306361053320573,0.22069056079173494,2,70.0,0.0,0.0,0.0,1.0,1.0
0.0,0.746,0.8255270046850527,0.7932489292887238,0.8611955972101935,0.6684313964096027,0.12078761756226777,0.06944771758931464,0.2614643715719129,2,80.0,0.0,0.0,0.0,0.0,0.0
0.0,0.687,0.8076508284649396,0.7075488655002734,0.941017455597909,0.5165409319553682,0.023475003372318427,0.035221329455572103,0.08696894172950016,2,80.0,0.0,0.0,0.0,0.0,1.0
0.0,0.746,0.8255270046850527,0.7932489292887238,0.8611955972101935,0.6684313964096027,0.12078761756226777,0.06944771758931464,0.2614643715719129,2,80.0,0.0,0.0,0.0,1.0,0.0
