accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,t,k,u,f,lf,nc,m,e
0.5730000000000001,0.6818549757822008,0.7027521398847063,0.6664466007277916,0.5078812126514565,0.10864751683735303,0.09455008904486091,0.20334547443467352,2,0.4,10.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5660000000000001,0.6736976772117746,0.7090296157432601,0.6493217085266357,0.5141284622940426,0.11673518172033073,0.1372186763331106,0.24748074512459114,2,0.4,10.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5159999999999999,0.6394571797113211,0.6654065334381125,0.6197403633809395,0.44927366504411753,0.09645730781816379,0.12770784070509522,0.17858976863036682,2,0.4,10.0,0.0,0.0,0.0,1.0,1.0,1.0
0.607,0.7265546144698474,0.7066859557023999,0.7480860993275559,0.5127829020198711,0.08626428015731828,0.07646750074765732,0.18082313679059986,2,0.5,10.0,0.0,0.0,0.0,0.0,0.0,1.0
0.6049999999999999,0.705582456813738,0.7366492547040004,0.6792966090942689,0.5524921745653025,0.06841818307176564,0.07720306429296439,0.13063946398323406,2,0.5,10.0,0.0,0.0,0.0,0.0,1.0,1.0
0.603,0.7090859127292163,0.72416452517082,0.6956661279022942,0.5415851049786751,0.07694988372202831,0.08628939462118972,0.19160957105591722,2,0.5,10.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5650000000000001,0.6664883442400857,0.7187713462898447,0.6256518956966886,0.5279843622478413,0.06925992446610249,0.08768831752393877,0.14932085674161727,2,0.5,10.0,0.0,0.0,0.0,1.0,1.0,1.0
0.608,0.7240174619791955,0.7124782321182964,0.7377103985201449,0.5213058121432681,0.07670489169500116,0.07323213637554424,0.15060962222052235,2,0.6,10.0,0.0,0.0,0.0,0.0,0.0,1.0
0.567,0.6881995839621109,0.6848336761269009,0.7004030987225953,0.4808690899327087,0.0688592714184307,0.07002421132942774,0.21775438068498407,2,0.6,10.0,0.0,0.0,0.0,0.0,1.0,1.0
0.547,0.6547934527131577,0.6917595076707439,0.6255129202316135,0.49271855258106145,0.08575204578476704,0.07677097978447356,0.2237308742211482,2,0.6,10.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5199999999999999,0.6117506530859557,0.6873386419166111,0.560500664721231,0.48940697595313043,0.11301254283393977,0.10751200948385367,0.24543929324705074,2,0.6,10.0,0.0,0.0,0.0,1.0,1.0,1.0
0.5680000000000001,0.6943418680980564,0.6869896902795238,0.7035915356991158,0.4789989277051336,0.0917107605010237,0.09929336217974571,0.17257295092373076,2,0.7,10.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5860000000000001,0.7097457835882894,0.6910800798731696,0.7331473401037443,0.4848963478799889,0.055933044674425544,0.08108668694987989,0.19573571678466822,2,0.7,10.0,0.0,0.0,0.0,0.0,1.0,1.0
0.51,0.6047219176002161,0.6927804759860523,0.5372529820516074,0.49081799881812105,0.08679047394147746,0.10887786557089671,0.14639312961866852,2,0.7,10.0,0.0,0.0,0.0,1.0,0.0,1.0
0.546,0.6479448259313485,0.6921858158417726,0.6171487044831447,0.49313824311080107,0.06349224646752664,0.10511196343686562,0.14327730259291685,2,0.7,10.0,0.0,0.0,0.0,1.0,1.0,1.0
0.651,0.7639710565483793,0.7256782664433284,0.80897051873999,0.546314403326637,0.12010799355368942,0.11513310924655044,0.2649567874138819,2,0.8,10.0,0.0,0.0,0.0,0.0,0.0,1.0
0.602,0.7153044580326963,0.7118021040722978,0.7227684949718389,0.5223468842251815,0.061487193007289706,0.0695943281750864,0.153550263322972,2,0.8,10.0,0.0,0.0,0.0,0.0,1.0,1.0
0.499,0.6017620854130575,0.674497303452879,0.5457350272232305,0.46891481945527824,0.07126218172087918,0.10407197480881689,0.16213976617382186,2,0.8,10.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5660000000000001,0.6699091413392169,0.7182326376178236,0.6319371245428318,0.5208864995495859,0.03922312912840731,0.04047063074459534,0.1288141910231401,2,0.8,10.0,0.0,0.0,0.0,1.0,1.0,1.0
0.632,0.754226865137954,0.7068061813536664,0.8139501909579525,0.5129934628102705,0.07866632479400504,0.08733790479499925,0.18637262726625423,2,0.9,10.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5529999999999999,0.6783918599505039,0.6819046018801584,0.6756923306064133,0.4712501009408889,0.08242984722873534,0.11751957285855293,0.21707215728729837,2,0.9,10.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5,0.6032535033580426,0.6791799948890482,0.5431393046078146,0.46990195075004326,0.08529553777789839,0.10356216446805848,0.1862198818935778,2,0.9,10.0,0.0,0.0,0.0,1.0,0.0,1.0
0.542,0.6298005104074379,0.7266738050491351,0.5640493015370415,0.5302142880980517,0.050356523130877295,0.07725389457593444,0.16854338619050346,2,0.9,10.0,0.0,0.0,0.0,1.0,1.0,1.0
0.594,0.7174226639325649,0.6989420632277776,0.7392431555778661,0.4967953391822745,0.08336642446258391,0.05702752227619332,0.1976596537442381,2,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
0.578,0.7129178972398782,0.6802733567747161,0.7508216248618612,0.46441425438909045,0.07802030851520932,0.08711999384328376,0.13930130828466014,2,1.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0
0.514,0.6088047877431413,0.7016194152478055,0.5459604256422421,0.49907703993363245,0.06571561132412862,0.05486181146254747,0.15451616063702048,2,1.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0
0.528,0.6160776247944313,0.7099758085052204,0.5477212289711807,0.5156346794458428,0.08600050656838651,0.07253956285745526,0.19186487003105968,2,1.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0
0.545,0.6655815280341671,0.6822558130327679,0.6519111976566507,0.47497122945792014,0.04623991616289047,0.06688053780827893,0.15651248731638936,2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5850000000000001,0.6936720413172904,0.7136665124769157,0.6778644520325023,0.5236226030984825,0.045259983984971955,0.07769888593534835,0.1365963017058291,2,0.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.596,0.6991317247969496,0.7220061390213484,0.6916350119613046,0.5352400389245615,0.17580568909965727,0.17914672135245766,0.40992155191057,2,0.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.607,0.7069158439360023,0.7382126386638415,0.6791901065944392,0.5570362372081734,0.0721784392485808,0.09849228267173242,0.18154903690495724,2,0.0,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.57,0.6790882172414471,0.7082725321902563,0.6568416455665944,0.5071978160910267,0.09072251231193379,0.09725063705109269,0.21117506125415467,2,0.1,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.5700000000000001,0.6880072965450583,0.70110934975053,0.6776370125607489,0.4988572953856953,0.060389562322175516,0.06950434083444186,0.13323588750716503,2,0.1,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.584,0.6873790166473094,0.7196420508432201,0.6640115144795224,0.5314112337094927,0.12074937941467385,0.1320319872506332,0.2874553761415144,2,0.1,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.525,0.6299447464972749,0.6914523775036682,0.5841061751958767,0.4860830533316734,0.10591196136558394,0.09012096620788718,0.22548729671353657,2,0.1,20.0,0.0,0.0,0.0,1.0,1.0,1.0
0.563,0.6814040089049818,0.6902234044658642,0.6760533946752428,0.48616604681519504,0.05549124889061112,0.045820160977588384,0.13259537936271387,2,0.2,20.0,0.0,0.0,0.0,0.0,0.0,1.0
0.583,0.6953750772388193,0.7111897724109548,0.688118572292801,0.5178372376830163,0.07677923373330006,0.08328365322652372,0.17733114609754602,2,0.2,20.0,0.0,0.0,0.0,0.0,1.0,1.0
0.5589999999999999,0.6658930800734328,0.6933896769994934,0.6498877788749203,0.4984561815976146,0.06076707899654878,0.10852280363677055,0.22475942725729509,2,0.2,20.0,0.0,0.0,0.0,1.0,0.0,1.0
0.5890000000000001,0.6872832037563346,0.7367653206833726,0.6454966469732659,0.5498309764774569,0.11870203858219856,0.13555225266843934,0.18878202822019635,2,0.2,20.0,0.0,0.0,0.0,1.0,1.0,1.0
