k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
,20.0,40.0,0.1,1.0,1.0,,accuracy,0.7670521223664937,dpr,0.1827163042302314
,23.0,47.0,0.1,0.0,0.0,,accuracy,0.8506800800213974,dpr,0.1698540917765045
,23.0,47.0,0.1,0.0,1.0,,accuracy,0.7697243813261777,dpr,0.2667840149720511
,23.0,47.0,0.1,1.0,0.0,,accuracy,0.8378427703278003,dpr,0.09534939400577262
,23.0,47.0,0.1,1.0,1.0,,accuracy,0.7720886850377868,dpr,0.19147820382512265
,26.6,53.4,0.1,0.0,0.0,,accuracy,0.8503422516147067,dpr,0.17155003286355594
,26.6,53.4,0.1,0.0,1.0,,accuracy,0.7681581648647516,dpr,0.2719113614834871
,26.6,53.4,0.1,1.0,0.0,,accuracy,0.8402688904934413,dpr,0.09870258276996294
,26.6,53.4,0.1,1.0,1.0,,accuracy,0.7723654420510707,dpr,0.2037733219892362
,30.0,60.0,0.1,0.0,0.0,,accuracy,0.8507108491389929,dpr,0.17216295135215595
,30.0,60.0,0.1,0.0,1.0,,accuracy,0.767789628642922,dpr,0.2768659965674415
,30.0,60.0,0.1,1.0,0.0,,accuracy,0.8417124407393869,dpr,0.10599639113291112
,30.0,60.0,0.1,1.0,1.0,,accuracy,0.7703999013879254,dpr,0.2134604144677949
,33.0,67.0,0.1,0.0,0.0,,accuracy,0.8506493910685528,dpr,0.17364720678512927
,33.0,67.0,0.1,0.0,1.0,,accuracy,0.765270314596662,dpr,0.25441189462900266
,33.0,67.0,0.1,1.0,0.0,,accuracy,0.8421730579664711,dpr,0.10938704256615876
,33.0,67.0,0.1,1.0,1.0,,accuracy,0.7644422457296709,dpr,0.18194817416946266
10.0,,,0.1,0.0,0.0,,accuracy,0.8485610474382931,dpr,0.15154571300390954
10.0,,,0.1,0.0,1.0,,accuracy,0.8441999482418645,dpr,0.17172369934918508
10.0,,,0.1,1.0,0.0,,accuracy,0.8427565253164057,dpr,0.09455032570699863
10.0,,,0.1,1.0,1.0,,accuracy,0.8430944810435829,dpr,0.13157301616181732
20.0,,,0.1,0.0,0.0,,accuracy,0.8491445336505217,dpr,0.16113134649837205
20.0,,,0.1,0.0,1.0,,accuracy,0.8275234967600238,dpr,0.19173375291565686
20.0,,,0.1,1.0,0.0,,accuracy,0.8406374361464181,dpr,0.07990889405829593
20.0,,,0.1,1.0,1.0,,accuracy,0.8228244465519914,dpr,0.12356079571165995
30.0,,,0.1,0.0,0.0,,accuracy,0.8492981151663788,dpr,0.16604487574228488
30.0,,,0.1,0.0,1.0,,accuracy,0.8163752866597178,dpr,0.21651061654670928
30.0,,,0.1,1.0,0.0,,accuracy,0.8433400728310907,dpr,0.0950672978473782
30.0,,,0.1,1.0,1.0,,accuracy,0.8018178866232759,dpr,0.1303196050061503
40.0,,,0.1,0.0,0.0,,accuracy,0.8498508699856006,dpr,0.17345049129380935
40.0,,,0.1,0.0,1.0,,accuracy,0.8048892575838684,dpr,0.222273020833562
40.0,,,0.1,1.0,0.0,,accuracy,0.8457356030709324,dpr,0.11142399930586044
40.0,,,0.1,1.0,1.0,,accuracy,0.8027395266167721,dpr,0.15923156363859875
50.0,,,0.1,0.0,0.0,,accuracy,0.8505879329981128,dpr,0.1753959486828745
50.0,,,0.1,0.0,1.0,,accuracy,0.7968119374556499,dpr,0.23676781459448915
50.0,,,0.1,1.0,0.0,,accuracy,0.8467797772438491,dpr,0.1215632742846766
50.0,,,0.1,1.0,1.0,,accuracy,0.8013880526605078,dpr,0.1874251478586917
60.0,,,0.1,0.0,0.0,,accuracy,0.8500658152604261,dpr,0.17407903674802644
60.0,,,0.1,0.0,1.0,,accuracy,0.7930343386181711,dpr,0.2292029057837803
60.0,,,0.1,1.0,0.0,,accuracy,0.8487146666787385,dpr,0.13624314174708835
60.0,,,0.1,1.0,1.0,,accuracy,0.7892566360380731,dpr,0.18254692694614788
70.0,,,0.1,0.0,0.0,,accuracy,0.8504036672449846,dpr,0.1743738505828047
70.0,,,0.1,0.0,1.0,,accuracy,0.7728562389490533,dpr,0.2008236333474556
70.0,,,0.1,1.0,0.0,,accuracy,0.8496974110746567,dpr,0.14070823777697233
70.0,,,0.1,1.0,1.0,,accuracy,0.7720271326558752,dpr,0.15765398178221354
80.0,,,0.1,0.0,0.0,,accuracy,0.8503729782921399,dpr,0.17599923284809812
80.0,,,0.1,0.0,1.0,,accuracy,0.7830221526329312,dpr,0.21655177247637009
80.0,,,0.1,1.0,0.0,,accuracy,0.8497894967954849,dpr,0.1470669200607389
80.0,,,0.1,1.0,1.0,,accuracy,0.7731946898114563,dpr,0.17432543127355885
90.0,,,0.1,0.0,0.0,,accuracy,0.8501887031078648,dpr,0.17677374333221088
90.0,,,0.1,0.0,1.0,,accuracy,0.7683726857379553,dpr,0.19665143060669493
90.0,,,0.1,1.0,0.0,,accuracy,0.8502501281692899,dpr,0.15507686943608132
90.0,,,0.1,1.0,1.0,,accuracy,0.7713514758424938,dpr,0.18140928983384152
100.0,,,0.1,0.0,0.0,,accuracy,0.8501887549791741,dpr,0.17676458760907646
100.0,,,0.1,0.0,1.0,,accuracy,0.7590364677939527,dpr,0.1948456215599484
100.0,,,0.1,1.0,0.0,,accuracy,0.8497894543553226,dpr,0.15501605168864288
100.0,,,0.1,1.0,1.0,,accuracy,0.7630898522365588,dpr,0.1742836905852126
,3.0,7.0,0.2,0.0,0.0,,accuracy,0.8406067566247207,dpr,0.10456975562413012
,3.0,7.0,0.2,0.0,1.0,,accuracy,0.8409138583539782,dpr,0.22138313887001398
,3.0,7.0,0.2,1.0,0.0,,accuracy,0.8001904242922206,dpr,0.014262075905987931
,3.0,7.0,0.2,1.0,1.0,,accuracy,0.8089126321162251,dpr,0.058943051912624216
,7.0,13.0,0.2,0.0,0.0,,accuracy,0.8493902669052369,dpr,0.14562540659755202
,7.0,13.0,0.2,0.0,1.0,,accuracy,0.8155768646038106,dpr,0.2713038519984164
