k,u,f,tau,neg_corr,micro_agg,epsilon,perf_name,perf_val,fair_name,fair_val
80.0,,,0.2,1.0,1.0,,accuracy,0.687,dpr,0.023475003372318427
90.0,,,0.2,0.0,0.0,,accuracy,0.735,dpr,0.1405046156509045
90.0,,,0.2,0.0,1.0,,accuracy,0.647,dpr,0.0959065143450953
90.0,,,0.2,1.0,0.0,,accuracy,0.735,dpr,0.1405046156509045
90.0,,,0.2,1.0,1.0,,accuracy,0.647,dpr,0.0959065143450953
100.0,,,0.2,0.0,0.0,,accuracy,0.7440000000000001,dpr,0.11600612923005935
100.0,,,0.2,0.0,1.0,,accuracy,0.6519999999999999,dpr,0.14158789465122315
100.0,,,0.2,1.0,0.0,,accuracy,0.7440000000000001,dpr,0.11600612923005935
100.0,,,0.2,1.0,1.0,,accuracy,0.6519999999999999,dpr,0.14158789465122315
,3.0,7.0,0.3,0.0,0.0,,accuracy,0.748,dpr,0.09490681572080953
,3.0,7.0,0.3,0.0,1.0,,accuracy,0.7060000000000001,dpr,0.13986746367263456
,3.0,7.0,0.3,1.0,0.0,,accuracy,0.75,dpr,0.08792313084594394
,3.0,7.0,0.3,1.0,1.0,,accuracy,0.7020000000000001,dpr,0.12294430748009973
,6.0,14.0,0.3,0.0,0.0,,accuracy,0.745,dpr,0.10730748465394202
,6.0,14.0,0.3,0.0,1.0,,accuracy,0.6950000000000001,dpr,0.08251178682296327
,6.0,14.0,0.3,1.0,0.0,,accuracy,0.745,dpr,0.108928897788248
,6.0,14.0,0.3,1.0,1.0,,accuracy,0.6890000000000001,dpr,0.07839072731310444
,9.4,20.6,0.3,0.0,0.0,,accuracy,0.7490000000000001,dpr,0.11373986173669193
,9.4,20.6,0.3,0.0,1.0,,accuracy,0.696,dpr,0.08489770750240891
,9.4,20.6,0.3,1.0,0.0,,accuracy,0.7490000000000001,dpr,0.11373986173669193
,9.4,20.6,0.3,1.0,1.0,,accuracy,0.696,dpr,0.08489770750240891
,12.6,27.4,0.3,0.0,0.0,,accuracy,0.746,dpr,0.11810948022883767
,12.6,27.4,0.3,0.0,1.0,,accuracy,0.6900000000000001,dpr,0.05092799627643803
,12.6,27.4,0.3,1.0,0.0,,accuracy,0.746,dpr,0.11810948022883767
,12.6,27.4,0.3,1.0,1.0,,accuracy,0.6900000000000001,dpr,0.05092799627643803
,15.6,34.4,0.3,0.0,0.0,,accuracy,0.75,dpr,0.1218989772411074
,15.6,34.4,0.3,0.0,1.0,,accuracy,0.6729999999999999,dpr,0.04809280535001596
,15.6,34.4,0.3,1.0,0.0,,accuracy,0.75,dpr,0.1218989772411074
,15.6,34.4,0.3,1.0,1.0,,accuracy,0.6729999999999999,dpr,0.04809280535001596
,18.6,41.4,0.3,0.0,0.0,,accuracy,0.7440000000000001,dpr,0.1158113244825969
,18.6,41.4,0.3,0.0,1.0,,accuracy,0.6859999999999999,dpr,0.0717907136411969
,18.6,41.4,0.3,1.0,0.0,,accuracy,0.7440000000000001,dpr,0.1158113244825969
,18.6,41.4,0.3,1.0,1.0,,accuracy,0.6859999999999999,dpr,0.0717907136411969
,21.6,48.4,0.3,0.0,0.0,,accuracy,0.747,dpr,0.12536986915796522
,21.6,48.4,0.3,0.0,1.0,,accuracy,0.6729999999999999,dpr,0.039341586322627874
,21.6,48.4,0.3,1.0,0.0,,accuracy,0.747,dpr,0.12536986915796522
,21.6,48.4,0.3,1.0,1.0,,accuracy,0.6729999999999999,dpr,0.039341586322627874
,24.8,55.2,0.3,0.0,0.0,,accuracy,0.7390000000000001,dpr,0.11306438876065487
,24.8,55.2,0.3,0.0,1.0,,accuracy,0.6869999999999999,dpr,0.06198528239636065
,24.8,55.2,0.3,1.0,0.0,,accuracy,0.7390000000000001,dpr,0.11306438876065487
,24.8,55.2,0.3,1.0,1.0,,accuracy,0.6869999999999999,dpr,0.06198528239636065
,28.0,62.0,0.3,0.0,0.0,,accuracy,0.755,dpr,0.10444379452204222
,28.0,62.0,0.3,0.0,1.0,,accuracy,0.645,dpr,0.04719960470741029
,28.0,62.0,0.3,1.0,0.0,,accuracy,0.755,dpr,0.10444379452204222
,28.0,62.0,0.3,1.0,1.0,,accuracy,0.645,dpr,0.04719960470741029
,31.2,68.8,0.3,0.0,0.0,,accuracy,0.743,dpr,0.11131076347761784
,31.2,68.8,0.3,0.0,1.0,,accuracy,0.6449999999999999,dpr,0.09118137981875296
,31.2,68.8,0.3,1.0,0.0,,accuracy,0.743,dpr,0.11131076347761784
,31.2,68.8,0.3,1.0,1.0,,accuracy,0.6449999999999999,dpr,0.09118137981875296
10.0,,,0.3,0.0,0.0,,accuracy,0.7410000000000001,dpr,0.08647876918500688
10.0,,,0.3,0.0,1.0,,accuracy,0.693,dpr,0.1628563997949215
10.0,,,0.3,1.0,0.0,,accuracy,0.74,dpr,0.08813695988901422
10.0,,,0.3,1.0,1.0,,accuracy,0.655,dpr,0.05588185315488532
20.0,,,0.3,0.0,0.0,,accuracy,0.7470000000000001,dpr,0.116229389091994
20.0,,,0.3,0.0,1.0,,accuracy,0.6689999999999999,dpr,0.13169263557420602
