tau,accuracy,f1,precision,recall,auc,dpr,eor,eOdds,kf,k,u,f,lf,nc,m
0.0,0.6697570187085221,0.7264036785284228,0.6547114870435378,0.8161089758270659,0.6581500975698049,0.2232515536563092,0.14247400132817561,0.4075421774618241,2,60.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6785877387031566,0.719009248992859,0.6780009506625794,0.7659515410249809,0.6717104820478017,0.18054929544564752,0.11047522417898163,0.31301011105839166,2,60.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6697570187085221,0.7264036785284228,0.6547114870435378,0.8161089758270659,0.6581500975698049,0.2232515536563092,0.14247400132817561,0.4075421774618241,2,60.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6790221016880948,0.7195921105295198,0.6779497305473369,0.7672482408523225,0.6719971899240347,0.17775752514614385,0.10957224038591332,0.30659948329080394,2,70.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6729417534432043,0.7298499384464903,0.6559539346600164,0.8226879390921257,0.660905216268232,0.21972422285767448,0.1376252868981625,0.39965213452326154,2,70.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6790221016880948,0.7195921105295198,0.6779497305473369,0.7672482408523225,0.6719971899240347,0.17775752514614385,0.10957224038591332,0.30659948329080394,2,70.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6729417534432043,0.7298499384464903,0.6559539346600164,0.8226879390921257,0.660905216268232,0.21972422285767448,0.1376252868981625,0.39965213452326154,2,70.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6781533757182184,0.7188910928403305,0.6773372372977189,0.7664987244924877,0.6712180192477766,0.18273773653736847,0.11167431641146508,0.317940476726149,2,80.0,0.0,0.0,0.0,0.0,0.0
0.0,0.6716392932405993,0.7300294667337475,0.653875541852498,0.8265182416664411,0.6592763001422626,0.21529321263960272,0.13691562061300336,0.3903132267619377,2,80.0,0.0,0.0,0.0,0.0,1.0
0.0,0.6781533757182184,0.7188910928403305,0.6773372372977189,0.7664987244924877,0.6712180192477766,0.18273773653736847,0.11167431641146508,0.317940476726149,2,80.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6716392932405993,0.7300294667337475,0.653875541852498,0.8265182416664411,0.6592763001422626,0.21529321263960272,0.13691562061300336,0.3903132267619377,2,80.0,0.0,0.0,0.0,1.0,1.0
0.0,0.6774296819247362,0.7187330314469145,0.6761589581357661,0.7675627766509461,0.6703096166255439,0.17936046313955445,0.11245793185872817,0.31009357304263435,2,90.0,0.0,0.0,0.0,0.0,0.0
